Viruses,Viral family,From Bat,Bat diet type,Bat family,Sample type,Collection year,Sampling country,Sequence coding,References
Eidolon helvum adenovirus 06-106,Adenoviridae,Eidolon helvum,Frugivore,Pteropodidae,Tissue,2006,Zambia,Full length,"Viruses 2017, 9(12):pii: E371"
Northern bat adenovirus 1 06/09,Adenoviridae,Eptesicus nilssoni,Insectivore,Vespertilionidae,Uncertain,2009,Germany,IVa2 + POL,"Acta Vet Hung 2015, 63(4):508-25"
Kuhl's pipistrelle adenovirus 1 09/09,Adenoviridae,Pipistrellus kuhlii,Insectivore,Vespertilionidae,Uncertain,2009,Germany,POL,"Acta Vet Hung 2015, 63(4):508-25"
Bat adenovirus 1-GZ-Ii,Adenoviridae,Ia io,Insectivore and bird-eating,Vespertilionidae,Swabs,2011,China,POL,"Bing Du Xue Bao 2012, 28(4):403-8"
Poxviridae sp. 1000-15,Poxviridae,Rousettus aegyptiacus,Frugivore,Pteropodidae,Swabs,2014,Israel,A10L + H4L + G1L + A7L + D5R + A24R + E9L + J6R,"Vet Med Sci 2020, 6(3):587-590"
Bat adenovirus 1045-TJ-Mr,Adenoviridae,Myotis ricketti,Insectivore and piscivore,Vespertilionidae,Feces,2007,China,POL,"J Virol 2010, 84(8):3889-97"
Bat adenovirus 1050597,Adenoviridae,Rousettus leschenaultii,Frugivore,Pteropodidae,ND,2011,India,Hexon + POL,Unpublished
Bat adenovirus 1064-TJ-Mr,Adenoviridae,Myotis ricketti,Insectivore and piscivore,Vespertilionidae,Feces,2007,China,POL,"J Virol 2010, 84(8):3889-97"
Bat adenovirus 1069-TJ-Mr,Adenoviridae,Myotis ricketti,Insectivore and piscivore,Vespertilionidae,Feces,2007,China,POL,"J Virol 2010, 84(8):3889-97"
Eidolon helvum adenovirus 11-45,Adenoviridae,Eidolon helvum,Frugivore,Pteropodidae,Tissue,2011,Zambia,POL,"Viruses 2017, 9(12):pii: E371"
Eidolon helvum adenovirus 11-49,Adenoviridae,Eidolon helvum,Frugivore,Pteropodidae,Tissue,2011,Zambia,POL,"Viruses 2017, 9(12):pii: E371"
Eidolon helvum adenovirus 11-51,Adenoviridae,Eidolon helvum,Frugivore,Pteropodidae,Tissue,2011,Zambia,POL,"Viruses 2017, 9(12):pii: E371"
Eidolon helvum adenovirus 11-75,Adenoviridae,Eidolon helvum,Frugivore,Pteropodidae,Tissue,2011,Zambia,POL,"Viruses 2017, 9(12):pii: E371"
Eidolon helvum adenovirus 11-78,Adenoviridae,Eidolon helvum,Frugivore,Pteropodidae,Tissue,2011,Zambia,POL,"Viruses 2017, 9(12):pii: E371"
Eidolon helvum adenovirus 11-79,Adenoviridae,Eidolon helvum,Frugivore,Pteropodidae,Tissue,2011,Zambia,POL,"Viruses 2017, 9(12):pii: E371"
Eidolon helvum adenovirus 11-80,Adenoviridae,Eidolon helvum,Frugivore,Pteropodidae,Tissue,2011,Zambia,POL,"Viruses 2017, 9(12):pii: E371"
Eidolon helvum adenovirus 11-88,Adenoviridae,Eidolon helvum,Frugivore,Pteropodidae,Tissue,2011,Zambia,POL,"Viruses 2017, 9(12):pii: E371"
common noctule adenovirus 2 119/08,Adenoviridae,Nyctalus noctula,Insectivore,Vespertilionidae,Uncertain,2008,Germany,IVa2 + POL,"Acta Vet Hung 2015, 63(4):508-25"
unidentified herpesvirus 11HN110,Herpesviridae,Miniopterus schreibersii,Insectivore,Vespertilionidae,Feces,2011,China,ND,"Arch Virol 2015, 161(1):135-40"
unidentified herpesvirus 11HZ76,Herpesviridae,Scotophilus kuhlii,Insectivore,Vespertilionidae,Feces,2011,China,ND,"Arch Virol 2015, 161(1):135-40"
vespertilionid adenovirus 2 121/08,Adenoviridae,Nyctalus noctula,Insectivore,Vespertilionidae,Uncertain,2008,Germany,POL,"Acta Vet Hung 2015, 63(4):508-25"
Bat adenovirus 1213-HN-Mh,Adenoviridae,Myotis horsfieldii,Insectivore,Vespertilionidae,Feces,2008,China,POL,"J Virol 2010, 84(8):3889-97"
Bat adenovirus 1252-HN-Mh,Adenoviridae,Myotis horsfieldii,Insectivore,Vespertilionidae,Feces,2007,China,POL,"J Virol 2010, 84(8):3889-97"
Bat adenovirus 1282-YN-Mr,Adenoviridae,Myotis ricketti,Insectivore and piscivore,Vespertilionidae,Feces,2007,China,POL,"J Virol 2010, 84(8):3889-97"
Bat adenovirus 1285-YN-Mr,Adenoviridae,Myotis ricketti,Insectivore and piscivore,Vespertilionidae,Feces,2007,China,POL,"J Virol 2010, 84(8):3889-97"
Rousettus aegyptiacus polyomavirus 1 12SuB01,Polyomaviridae,Rousettus aegyptiacus,Frugivore,Pteropodidae,ND,2012,Zambia,Full length,"J Gen Virol 2017, 98(4):726-738"
Miniopterus schreibersii polyomavirus 1 12SuB07,Polyomaviridae,Miniopterus schreibersii,Insectivore,Vespertilionidae,ND,2012,Zambia,Full length,"J Gen Virol 2017, 98(4):726-738"
Miniopterus schreibersii polyomavirus 2 12SuB08,Polyomaviridae,Miniopterus schreibersii,Insectivore,Vespertilionidae,ND,2012,Zambia,Full length,"J Gen Virol 2017, 98(4):726-738"
Miniopterus schreibersii polyomavirus 1 12SuB10,Polyomaviridae,Miniopterus schreibersii,Insectivore,Vespertilionidae,ND,2012,Zambia,Full length,"J Gen Virol 2017, 98(4):726-738"
Rhinolophus hildebrandtii polyomavirus 1 12SuB17,Polyomaviridae,Rhinolophus hildebrandtii,Insectivore,Rhinolophidae,ND,2012,Zambia,Full length,"J Gen Virol 2017, 98(4):726-738"
Miniopterus schreibersii polyomavirus 1 12SuB19,Polyomaviridae,Miniopterus schreibersii,Insectivore,Vespertilionidae,ND,2012,Zambia,Full length,"J Gen Virol 2017, 98(4):726-738"
Schreiber's bent-winged bat adenovirus 13/F-Ms,Adenoviridae,Miniopterus schreibersii,Insectivore,Vespertilionidae,ND,2016,Croatia,IVa2,Unpublished
Poxviridae sp. 1334-19,Poxviridae,Rousettus aegyptiacus,Frugivore,Pteropodidae,Organ,2019,Israel,G1L + E9L,Unpublished
